hub_id,in_degree,out_degree,betweenness_centrality,clustering_coefficient,pagerank,total_hub_trips,total_sla_breach_trips,breach_rate_%,risk_tier
IND000000ACB,101,108,0.21568734824375685,0.03715846994535519,0.014993404995547794,852.0,728.0,85.4,High Risk
IND421302AAG,67,81,0.06098320487953155,0.06507936507936508,0.007750968915871727,682.0,635.0,93.1,High Risk
IND562132AAA,78,86,0.11996117793212752,0.05187074829931973,0.010562399352175494,584.0,495.0,84.8,High Risk
IND560099AAB,30,41,0.0034613486445690717,0.14035087719298245,0.003489696728660833,363.0,308.0,84.8,High Risk
IND411033AAA,38,43,0.04207925721579599,0.06157635467980296,0.0062167831809181425,328.0,289.0,88.1,High Risk
IND160002AAC,45,40,0.05406234182008846,0.0313588850174216,0.009649526606953273,301.0,268.0,89.0,High Risk
IND400072AAB,22,21,0.005013573705130189,0.07692307692307693,0.002224352868936386,239.0,220.0,92.1,High Risk
IND501359AAE,58,45,0.09139456299083205,0.042682926829268296,0.010641990878152242,252.0,217.0,86.1,High Risk
IND560300AAA,10,21,0.005573170359853567,0.22727272727272727,0.001245871532541616,256.0,205.0,80.1,High Risk
IND600056AAB,32,40,0.04137529979941926,0.05533596837944664,0.004163704248309379,240.0,200.0,83.3,High Risk
IND382430AAB,29,24,0.03151916331270368,0.03985507246376811,0.0037324963512088733,221.0,188.0,85.1,High Risk
IND712311AAA,44,43,0.07901378113921462,0.043010752688172046,0.010922163590869578,212.0,177.0,83.5,High Risk
IND110037AAM,34,34,0.03594234126888245,0.06653225806451613,0.005473984814113225,203.0,173.0,85.2,High Risk
IND131028AAB,38,30,0.04767455516146868,0.0367816091954023,0.006336334297274932,195.0,169.0,86.7,High Risk
IND209304AAA,22,17,0.0384357006542468,0.03463203463203463,0.00489914856863798,176.0,149.0,84.7,High Risk
IND842001AAA,17,21,0.024424286959526018,0.057971014492753624,0.005102995817126724,141.0,123.0,87.2,High Risk
IND121004AAB,15,13,0.004848835811992931,0.05555555555555555,0.002817526823626685,128.0,122.0,95.3,High Risk
IND110044AAB,5,15,0.0025801656295604135,0.39285714285714285,0.00047630258539954607,131.0,121.0,92.4,High Risk
IND000000ACT,0,11,0.0,1.0,0.00012114567835132603,125.0,116.0,92.8,Low Risk
IND302014AAB,10,15,8.92080217667573e-05,0.02197802197802198,0.0024747283921484177,117.0,105.0,89.7,Low Risk
IND600032AAB,9,10,1.8900004611601125e-06,0.6666666666666666,0.0010804896784519066,100.0,97.0,97.0,Low Risk
IND000000ACA,17,13,0.008956901185483888,0.1,0.0033380074142594584,105.0,97.0,92.4,High Risk
IND462022AAA,21,15,0.029154321160713068,0.0718954248366013,0.00395286349779493,99.0,82.0,82.8,High Risk
IND302014AAA,13,11,0.03397018709158461,0.06666666666666667,0.0029304585249397175,81.0,76.0,93.8,High Risk
IND400072AAD,5,4,0.0005745591583742528,0.0,0.00036218120721227744,73.0,73.0,100.0,Low Risk
IND395023AAA,13,17,0.012188797964975781,0.16363636363636364,0.0016832426414778697,76.0,66.0,86.8,High Risk
IND560043AAC,10,9,0.0008006041953474236,0.3,0.0008007147749034139,66.0,58.0,87.9,Low Risk
IND834002AAB,9,12,0.007918228932047857,0.15555555555555556,0.0015634645105204001,69.0,58.0,84.1,High Risk
IND751002AAB,17,11,0.017302264127346766,0.10476190476190476,0.0031788893151763705,63.0,57.0,90.5,High Risk
IND521225AAB,12,10,0.012064722093792245,0.10256410256410256,0.002652204044511946,61.0,56.0,91.8,High Risk
IND000000AFT,11,11,0.004395007072381725,0.07142857142857142,0.001570241661835909,66.0,56.0,84.8,High Risk
IND580028AAA,16,17,0.013500745794181984,0.0989010989010989,0.00325468461036992,68.0,54.0,79.4,High Risk
IND401104AAA,10,10,0.0012029852935284116,0.2,0.0009584761012674324,67.0,53.0,79.1,High Risk
IND518002AAA,12,10,0.008755049136231988,0.12121212121212122,0.003425631844625394,63.0,51.0,81.0,High Risk
IND532001AAB,9,8,0.007168771749180306,0.14285714285714285,0.0018347072438409967,55.0,50.0,90.9,High Risk
IND131021AAA,0,4,0.0,0.0,0.00012114567835132603,50.0,50.0,100.0,Low Risk
IND400011AAA,2,4,0.0007994701950707275,0.0,0.0003333671356046323,49.0,48.0,98.0,Low Risk
IND560058AAB,10,9,1.0080002459520598e-06,0.8333333333333334,0.0008775191131209995,66.0,45.0,68.2,Low Risk
IND854326AAB,11,13,0.018783366383141393,0.14285714285714285,0.0018929345364784515,58.0,43.0,74.1,High Risk
