iter	Passed	Remaining
0	27	6795
1	51	6436
2	75	6240
3	99	6129
4	123	6038
5	152	6183
6	201	6982
7	238	7206
8	264	7091
9	290	6975
10	315	6849
11	341	6769
12	366	6684
13	392	6614
14	418	6556
15	457	6691
16	484	6634
17	509	6570
18	534	6499
19	558	6419
20	581	6340
21	604	6263
22	626	6185
23	649	6118
24	673	6061
25	696	6001
26	720	5947
27	743	5894
28	767	5845
29	790	5795
30	813	5750
31	837	5702
32	860	5661
33	886	5631
34	911	5597
35	934	5556
36	959	5525
37	984	5494
38	1008	5454
39	1032	5419
40	1077	5493
41	1107	5486
42	1135	5465
43	1160	5434
44	1189	5417
45	1215	5388
46	1243	5370
47	1270	5346
48	1298	5325
49	1331	5326
50	1365	5328
51	1396	5317
52	1419	5275
53	1446	5248
54	1473	5224
55	1498	5191
56	1524	5161
57	1551	5135
58	1575	5101
59	1606	5087
60	1640	5081
61	1666	5052
62	1692	5022
63	1719	4998
64	1755	4996
65	1783	4973
66	1808	4939
67	1838	4919
68	1866	4896
69	1897	4878
70	1922	4847
71	1953	4829
72	1982	4806
73	2006	4773
74	2030	4737
75	2058	4713
76	2084	4683
77	2107	4647
78	2134	4619
79	2159	4588
80	2183	4555
81	2209	4526
82	2233	4494
83	2263	4472
84	2286	4437
85	2310	4406
86	2335	4375
87	2359	4344
88	2383	4311
89	2410	4285
90	2434	4253
91	2458	4222
92	2485	4195
93	2509	4164
94	2535	4137
95	2560	4108
96	2588	4082
97	2618	4060
98	2646	4036
99	2673	4010
100	2705	3990
101	2737	3972
102	2768	3951
103	2801	3932
104	2832	3911
105	2864	3890
106	2893	3867
107	2926	3847
108	2955	3823
109	2985	3799
110	3017	3778
111	3051	3760
112	3078	3732
113	3108	3708
114	3162	3712
115	3186	3681
116	3208	3646
117	3228	3611
118	3252	3580
119	3274	3547
120	3295	3513
121	3315	3478
122	3336	3445
123	3359	3413
124	3382	3382
125	3404	3350
126	3426	3318
127	3462	3300
128	3483	3267
129	3506	3236
130	3528	3205
131	3552	3175
132	3581	3150
133	3607	3122
134	3636	3098
135	3665	3072
136	3692	3045
137	3719	3018
138	3743	2989
139	3769	2961
140	3795	2933
141	3819	2905
142	3844	2876
143	3867	2846
144	3891	2817
145	3915	2788
146	3940	2761
147	3963	2731
148	3988	2703
149	4012	2675
150	4036	2646
151	4058	2616
152	4081	2587
153	4104	2558
154	4125	2528
155	4151	2501
156	4178	2474
157	4205	2448
158	4229	2420
159	4258	2395
160	4284	2368
161	4308	2340
162	4333	2312
163	4358	2285
164	4385	2259
165	4412	2232
166	4438	2205
167	4464	2178
168	4489	2151
169	4513	2124
170	4536	2095
171	4558	2067
172	4580	2038
173	4603	2010
174	4627	1983
175	4651	1955
176	4676	1928
177	4700	1901
178	4723	1873
179	4743	1844
180	4765	1816
181	4790	1789
182	4810	1761
183	4833	1733
184	4854	1705
185	4877	1678
186	4898	1650
187	4932	1626
188	4957	1599
189	4980	1572
190	5007	1546
191	5031	1519
192	5055	1493
193	5079	1466
194	5102	1439
195	5126	1412
196	5150	1385
197	5173	1358
198	5196	1331
199	5218	1304
200	5239	1277
201	5263	1250
202	5286	1223
203	5310	1197
204	5332	1170
205	5352	1143
206	5377	1117
207	5403	1091
208	5421	1063
209	5444	1036
210	5467	1010
211	5489	984
212	5516	958
213	5541	932
214	5564	905
215	5589	879
216	5614	853
217	5638	827
218	5664	801
219	5685	775
220	5710	749
221	5734	723
222	5757	697
223	5782	671
224	5808	645
225	5831	619
226	5854	593
227	5885	567
228	5908	541
229	5931	515
230	5961	490
231	5986	464
232	6011	438
233	6034	412
234	6055	386
235	6078	360
236	6100	334
237	6122	308
238	6145	282
239	6167	256
240	6187	231
241	6211	205
242	6230	179
243	6251	153
244	6275	128
245	6298	102
246	6320	76
247	6342	51
248	6366	25
249	6388	0
